"text"|"label_str"|"label_bin"|"set"|"n_tokens"|"n_stopwords"|"n_chars"|"n_upper"|"emotion_label"|"emotion_score"
"Says the Annies List political group supports third-trimester abortions on demand."|"false"|"1"|"train"|"11"|"2"|"82"|"3"|"disgust"|"0.5208401083946228"
"When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration."|"half-true"|"1"|"train"|"24"|"10"|"141"|"6"|"neutral"|"0.6054898500442505"
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."""|"mostly-true"|"0"|"train"|"19"|"6"|"105"|"8"|"neutral"|"0.7849183678627014"
"Health care reform legislation is likely to mandate free sex change surgeries."|"false"|"1"|"train"|"12"|"2"|"78"|"1"|"neutral"|"0.7806727290153503"
"The economic turnaround started at the end of my term."|"half-true"|"1"|"train"|"10"|"5"|"54"|"1"|"joy"|"0.5734668374061584"
"The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades."|"true"|"0"|"train"|"27"|"11"|"155"|"5"|"neutral"|"0.858100414276123"
"Jim Dunnam has not lived in the district he represents for years now."|"barely-true"|"1"|"train"|"13"|"6"|"69"|"2"|"neutral"|"0.5432741641998291"
"""I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate."""|"half-true"|"1"|"train"|"27"|"11"|"161"|"4"|"neutral"|"0.8917350769042969"
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific."|"half-true"|"1"|"train"|"23"|"7"|"144"|"13"|"neutral"|"0.6082925796508789"
"Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs."|"mostly-true"|"0"|"train"|"21"|"4"|"132"|"8"|"sadness"|"0.4199363887310028"
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin."|"mostly-true"|"0"|"train"|"21"|"9"|"116"|"2"|"neutral"|"0.5384593605995178"
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty."|"half-true"|"1"|"train"|"16"|"6"|"94"|"2"|"neutral"|"0.4784785807132721"
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it."|"false"|"1"|"train"|"22"|"10"|"124"|"4"|"neutral"|"0.9136878252029419"
"The economy bled $24 billion due to the government shutdown."|"mostly-true"|"0"|"train"|"10"|"3"|"60"|"1"|"sadness"|"0.9024519920349121"
"Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended."|"barely-true"|"1"|"train"|"16"|"8"|"95"|"4"|"neutral"|"0.7840494513511658"
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote."|"half-true"|"1"|"train"|"33"|"11"|"181"|"3"|"neutral"|"0.672221302986145"
"""McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' """|"true"|"0"|"train"|"20"|"7"|"148"|"5"|"disgust"|"0.7138041257858276"
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out"|"barely-true"|"1"|"train"|"22"|"9"|"116"|"8"|"neutral"|"0.6644951701164246"
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner."|"half-true"|"1"|"train"|"22"|"9"|"125"|"5"|"neutral"|"0.89598149061203"
"Almost 100,000 people left Puerto Rico last year."|"mostly-true"|"0"|"train"|"8"|"0"|"49"|"3"|"neutral"|"0.8000815510749817"
"Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor."|"false"|"1"|"train"|"20"|"9"|"117"|"3"|"neutral"|"0.8409732580184937"
"The United States has the highest corporate tax rate in the free world."|"mostly-true"|"0"|"train"|"13"|"5"|"71"|"3"|"neutral"|"0.7993115782737732"
"We just had the best year for the auto industry in America in history."|"mostly-true"|"0"|"train"|"14"|"8"|"70"|"2"|"neutral"|"0.7186286449432373"
"Says Scott Walker favors cutting up to 350,000 families and children off health care."|"half-true"|"1"|"train"|"14"|"4"|"85"|"3"|"neutral"|"0.45592787861824036"
"Says Mitt Romney wants to get rid of Planned Parenthood."|"barely-true"|"1"|"train"|"10"|"2"|"56"|"5"|"sadness"|"0.6814666986465454"
"I dont know who (Jonathan Gruber) is."|"false"|"1"|"train"|"7"|"2"|"37"|"3"|"neutral"|"0.6359038949012756"
"Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino."|"mostly-true"|"0"|"train"|"14"|"5"|"93"|"6"|"anger"|"0.6652224063873291"
"Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections."|"half-true"|"1"|"train"|"23"|"10"|"136"|"3"|"neutral"|"0.9137584567070007"
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn."|"false"|"1"|"train"|"14"|"3"|"87"|"7"|"fear"|"0.6394020915031433"
"Youth unemployment in minority communities is about 40 to 45 percent."|"mostly-true"|"0"|"train"|"11"|"4"|"69"|"1"|"neutral"|"0.9219475388526917"
"Says Paul Ryan is still endorsing Trump."|"true"|"0"|"train"|"7"|"1"|"40"|"4"|"sadness"|"0.46067145466804504"
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates."|"barely-true"|"1"|"train"|"24"|"14"|"132"|"1"|"neutral"|"0.9678581953048706"
"What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants."|"false"|"1"|"train"|"32"|"14"|"171"|"2"|"neutral"|"0.7411503791809082"
"We cut business taxes so today 70 percent of our businesses dont pay a business tax."|"mostly-true"|"0"|"train"|"16"|"5"|"84"|"1"|"neutral"|"0.7250763177871704"
"Says Mark Pryor votes with Obama 93 percent of the time."|"mostly-true"|"0"|"train"|"11"|"3"|"56"|"4"|"neutral"|"0.9103684425354004"
"We have a federal government that thinks they have the authority to regulate our toilet seats."|"true"|"0"|"train"|"16"|"9"|"94"|"1"|"neutral"|"0.7098200917243958"
"Austin is a city that has basically doubled in size every 25 years or so since it was founded."|"true"|"0"|"train"|"19"|"9"|"94"|"1"|"neutral"|"0.6176577210426331"
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests."|"true"|"0"|"train"|"33"|"12"|"200"|"7"|"neutral"|"0.7564106583595276"
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct."|"pants-fire"|"1"|"train"|"20"|"10"|"131"|"6"|"neutral"|"0.3694753050804138"
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt."|"true"|"0"|"train"|"22"|"7"|"127"|"8"|"sadness"|"0.428968608379364"
"Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law."|"false"|"1"|"train"|"19"|"6"|"108"|"9"|"neutral"|"0.5236718058586121"
"Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS."|"half-true"|"1"|"train"|"16"|"3"|"87"|"8"|"sadness"|"0.7802719473838806"
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company"|"pants-fire"|"1"|"train"|"16"|"5"|"104"|"4"|"neutral"|"0.6238651275634766"
"Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe."|"pants-fire"|"1"|"train"|"23"|"5"|"136"|"5"|"neutral"|"0.5305609107017517"
"""We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' """|"false"|"1"|"train"|"24"|"9"|"147"|"1"|"fear"|"0.6790924668312073"
"African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent."|"half-true"|"1"|"train"|"12"|"2"|"93"|"3"|"neutral"|"0.7445735931396484"
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally."|"pants-fire"|"1"|"train"|"14"|"7"|"92"|"3"|"neutral"|"0.9607447981834412"
"President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one."|"false"|"1"|"train"|"15"|"4"|"97"|"4"|"neutral"|"0.9399858117103577"
"It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life."|"pants-fire"|"1"|"train"|"21"|"8"|"129"|"8"|"neutral"|"0.9097185134887695"
"Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners."|"true"|"0"|"train"|"11"|"2"|"78"|"2"|"disgust"|"0.6031145453453064"
"Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country"|"barely-true"|"1"|"train"|"21"|"8"|"134"|"4"|"neutral"|"0.9110844731330872"
"Maggie Hassan raised tuition, making it the highest in America."|"barely-true"|"1"|"train"|"10"|"3"|"63"|"3"|"neutral"|"0.7939978837966919"
"Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom."|"false"|"1"|"train"|"16"|"7"|"91"|"6"|"neutral"|"0.7221469879150391"
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history"|"true"|"0"|"train"|"31"|"13"|"162"|"4"|"joy"|"0.4918679893016815"
"We have towns in West Texas that are out of water, that are having to truck in water."|"barely-true"|"1"|"train"|"18"|"12"|"85"|"3"|"neutral"|"0.48582813143730164"
"In Georgia, women earn 82 cents for every dollar earned by men."|"half-true"|"1"|"train"|"12"|"3"|"63"|"2"|"neutral"|"0.8585372567176819"
"A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time."|"half-true"|"1"|"train"|"32"|"16"|"169"|"3"|"neutral"|"0.9155001640319824"
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements."|"barely-true"|"1"|"train"|"24"|"11"|"129"|"2"|"neutral"|"0.6376530528068542"
"""Sen. Obama's campaign announced that he's choosing his cabinet."""|"false"|"1"|"train"|"9"|"3"|"65"|"2"|"neutral"|"0.7952232956886292"
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out."|"mostly-true"|"0"|"train"|"20"|"8"|"109"|"3"|"neutral"|"0.8389166593551636"
"Only 2 percent of public high schools in the country offer PE classes."|"false"|"1"|"train"|"13"|"4"|"70"|"3"|"neutral"|"0.8680411577224731"
"Said he's the only Republican candidate ""who's actually turned around a government economy."""|"mostly-true"|"0"|"train"|"13"|"4"|"92"|"2"|"neutral"|"0.8601136803627014"
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong."""|"true"|"0"|"train"|"20"|"8"|"124"|"6"|"anger"|"0.45035162568092346"
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools."|"mostly-true"|"0"|"train"|"17"|"8"|"108"|"3"|"neutral"|"0.8782668113708496"
"Under Mayor Cicilline, [Providence] was a sanctuary city."|"false"|"1"|"train"|"8"|"3"|"57"|"4"|"neutral"|"0.6954216361045837"
"Transgender individuals in the U.S. have a 1-in-12 chance of being murdered."|"pants-fire"|"1"|"train"|"12"|"6"|"76"|"3"|"fear"|"0.49509987235069275"
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised."|"true"|"0"|"train"|"21"|"4"|"139"|"9"|"neutral"|"0.6189234256744385"
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts."|"false"|"1"|"train"|"24"|"12"|"121"|"11"|"disgust"|"0.5206056833267212"
"U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant."|"barely-true"|"1"|"train"|"17"|"5"|"106"|"6"|"neutral"|"0.7202639579772949"
"Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America."|"barely-true"|"1"|"train"|"16"|"5"|"94"|"4"|"neutral"|"0.8412229418754578"
